trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
769,False,"{'a': 0.6, 'e': 0.46329802172888146}",35,15,-7.813626966136538,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
770,False,"{'a': 0.6, 'e': 0.46283472370715256}",20,6,3.09952653702796,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
771,False,"{'a': 0.6, 'e': 0.46237188898344544}",25,0,-27.824864119827783,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
772,False,"{'a': 0.6, 'e': 0.461909517094462}",35,7,-54.41041676222027,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 1}",1
773,False,"{'a': 0.6, 'e': 0.4614476075773675}",20,0,-37.1386938269545,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
774,False,"{'a': 0.6, 'e': 0.46098615996979014}",20,13,10.775936212195145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.6, 'e': 0.46052517380982033}",20,13,-9.74205533582283,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
776,False,"{'a': 0.6, 'e': 0.46006464863601054}",25,0,35.16815079299102,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
777,False,"{'a': 0.6, 'e': 0.4596045839873745}",30,0,-96.18888800030261,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",1
778,False,"{'a': 0.6, 'e': 0.45914497940338717}",25,10,14.215524362349841,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.6, 'e': 0.45868583442398375}",20,0,-49.99665595515912,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
780,False,"{'a': 0.6, 'e': 0.45822714858955976}",20,6,-23.473312175508497,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
781,False,"{'a': 0.6, 'e': 0.4577689214409702}",25,5,-29.795781494126523,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
782,False,"{'a': 0.6, 'e': 0.45731115251952925}",30,0,8.66416715924472,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
783,False,"{'a': 0.6, 'e': 0.45685384136700974}",20,0,-52.62692499377476,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
784,False,"{'a': 0.6, 'e': 0.45639698752564273}",35,17,-57.37808558026967,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
785,False,"{'a': 0.6, 'e': 0.4559405905381171}",20,2,-54.23912160414866,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
786,False,"{'a': 0.6, 'e': 0.4554846499475789}",20,2,-76.62549076014577,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
787,False,"{'a': 0.6, 'e': 0.4550291652976314}",20,0,-14.722169349290512,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
788,False,"{'a': 0.6, 'e': 0.4545741361323337}",30,6,-21.748426251707983,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
789,False,"{'a': 0.6, 'e': 0.4541195619962014}",20,8,-8.968556216621256,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
790,False,"{'a': 0.6, 'e': 0.4536654424342052}",25,0,-52.230799700980114,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
791,False,"{'a': 0.6, 'e': 0.453211776991771}",20,13,13.422655619557943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.6, 'e': 0.45275856521477925}",30,13,-16.73289086305977,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
793,False,"{'a': 0.6, 'e': 0.45230580664956443}",20,0,-24.589136248362944,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
794,False,"{'a': 0.6, 'e': 0.45185350084291487}",25,0,-123.96736674471144,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
795,False,"{'a': 0.6, 'e': 0.45140164734207194}",25,0,6.360617322532962,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
